u,v,u_co-ord,v_co-ord,length
2b1,2s7,"(54,60)","(54,54)",6.0
2b1,2e25,"(54,60)","(42,60)",12.0
2b1,2s11,"(54,60)","(69,60)",15.0
2b1,2s6,"(54,60)","(57,69)",9.486832980505138
2b2,2s7,"(54,52)","(54,54)",2.0
2b2,2b3,"(54,52)","(54,44)",8.0
2b3,2b2,"(54,44)","(54,52)",8.0
2b3,2s8,"(54,44)","(54,38)",6.0
2b4,2s11,"(69,52)","(69,60)",8.0
2b4,2f1,"(69,52)","(69,34)",18.0
2e1,2k5,"(21,56)","(18,56)",3.0
2e1,2e7,"(21,56)","(31,56)",10.0
2e1,2s2,"(21,56)","(21,53)",3.0
2e10,2e4,"(31,43)","(21,43)",10.0
2e10,2e11,"(31,43)","(31,40)",3.0
2e10,2e17,"(31,43)","(33,43)",2.0
2e11,2e10,"(31,40)","(31,43)",3.0
2e11,2e5,"(31,40)","(21,40)",10.0
2e11,2e12,"(31,40)","(31,37)",3.0
2e11,2e18,"(31,40)","(33,40)",2.0
2e12,2e6,"(31,37)","(21,37)",10.0
2e12,2e11,"(31,37)","(31,40)",3.0
2e12,2e13,"(31,37)","(31,30)",7.0
2e12,2e28,"(31,37)","(42,37)",11.0
2e13,2s3,"(31,30)","(21,30)",10.0
2e13,2e12,"(31,30)","(31,37)",7.0
2e13,2s5,"(31,30)","(42,30)",11.0
2e14,2e25,"(35,60)","(42,60)",7.0
2e14,2s1,"(35,60)","(16,60)",19.0
2e14,2e15,"(35,60)","(35,53)",7.0
2e15,2e14,"(35,53)","(35,60)",7.0
2e15,2e16,"(35,53)","(35,47)",6.0
2e15,2s4,"(35,53)","(42,53)",7.0
2e16,2e15,"(35,47)","(35,53)",6.0
2e16,2e26,"(35,47)","(42,47)",7.0
2e17,2e10,"(33,43)","(31,43)",2.0
2e17,2e19,"(33,43)","(35,43)",2.0
2e18,2e11,"(33,40)","(31,40)",2.0
2e18,2e20,"(33,40)","(35,40)",2.0
2e19,2e17,"(35,43)","(33,43)",2.0
2e19,2e21,"(35,43)","(38,43)",3.0
2e2,2s2,"(21,50)","(21,53)",3.0
2e2,2e3,"(21,50)","(21,46)",4.0
2e2,2e9,"(21,50)","(31,50)",10.0
2e20,2e18,"(35,40)","(33,40)",2.0
2e20,2e22,"(35,40)","(38,40)",3.0
2e21,2e19,"(38,43)","(35,43)",3.0
2e21,2e23,"(38,43)","(40,43)",2.0
2e22,2e20,"(38,40)","(35,40)",3.0
2e22,2e24,"(38,40)","(40,40)",2.0
2e23,2e21,"(40,43)","(38,43)",2.0
2e24,2e22,"(40,40)","(38,40)",2.0
2e24,2e27,"(40,40)","(42,40)",2.0
2e25,2e14,"(42,60)","(35,60)",7.0
2e25,2s4,"(42,60)","(42,53)",7.0
2e25,2b1,"(42,60)","(54,60)",12.0
2e26,2e16,"(42,47)","(35,47)",7.0
2e26,2s4,"(42,47)","(42,53)",6.0
2e27,2e24,"(42,40)","(40,40)",2.0
2e27,2e28,"(42,40)","(42,37)",3.0
2e28,2e12,"(42,37)","(31,37)",11.0
2e28,2e27,"(42,37)","(42,40)",3.0
2e28,2s5,"(42,37)","(42,30)",7.0
2e3,2e2,"(21,46)","(21,50)",4.0
2e3,2e4,"(21,46)","(21,43)",3.0
2e4,2e3,"(21,43)","(21,46)",3.0
2e4,2e5,"(21,43)","(21,40)",3.0
2e4,2e10,"(21,43)","(31,43)",10.0
2e5,2e4,"(21,40)","(21,43)",3.0
2e5,2e6,"(21,40)","(21,37)",3.0
2e5,2e11,"(21,40)","(31,40)",10.0
2e6,2e5,"(21,37)","(21,40)",3.0
2e6,2e12,"(21,37)","(31,37)",10.0
2e6,2s3,"(21,37)","(21,30)",7.0
2e7,2e1,"(31,56)","(21,56)",10.0
2e7,2e8,"(31,56)","(31,53)",3.0
2e8,2s2,"(31,53)","(21,53)",10.0
2e8,2e7,"(31,53)","(31,56)",3.0
2e9,2e2,"(31,50)","(21,50)",10.0
2f1,2s9,"(69,34)","(62,34)",7.0
2f1,2b4,"(69,34)","(69,52)",18.0
2f1,2s12,"(69,34)","(69,27)",7.0
2f1,2s14,"(69,34)","(77,34)",8.0
2f10,2f9,"(80,14)","(80,16)",2.0
2f10,2f11,"(80,14)","(80,11)",3.0
2f10,2f15,"(80,14)","(91,14)",11.0
2f11,2f10,"(80,11)","(80,14)",3.0
2f11,2f12,"(80,11)","(80,4)",7.0
2f11,2f4,"(80,11)","(69,11)",11.0
2f12,2s13,"(80,4)","(69,4)",11.0
2f12,2s17,"(80,4)","(91,4)",11.0
2f12,2f11,"(80,4)","(80,11)",7.0
2f13,2s14,"(91,34)","(77,34)",14.0
2f13,2s15,"(91,34)","(95,34)",4.0
2f13,2s16,"(91,34)","(91,27)",7.0
2f14,2s16,"(91,21)","(91,27)",6.0
2f14,2f15,"(91,21)","(91,14)",7.0
2f14,2f8,"(91,21)","(80,21)",11.0
2f15,2f14,"(91,14)","(91,21)",7.0
2f15,2f10,"(91,14)","(80,14)",11.0
2f15,2s17,"(91,14)","(91,4)",10.0
2f2,2s12,"(69,21)","(69,27)",6.0
2f2,2f3,"(69,21)","(69,16)",5.0
2f2,2f8,"(69,21)","(80,21)",11.0
2f3,2f2,"(69,16)","(69,21)",5.0
2f3,2f4,"(69,16)","(69,11)",5.0
2f3,2f9,"(69,16)","(80,16)",11.0
2f4,2f3,"(69,11)","(69,16)",5.0
2f4,2f11,"(69,11)","(80,11)",11.0
2f4,2s13,"(69,11)","(69,4)",7.0
2f5,2f6,"(75,31)","(80,31)",5.0
2f6,2f5,"(80,31)","(75,31)",5.0
2f6,2f7,"(80,31)","(80,27)",4.0
2f7,2f6,"(80,27)","(80,31)",4.0
2f7,2f8,"(80,27)","(80,21)",6.0
2f7,2s12,"(80,27)","(69,27)",11.0
2f7,2s16,"(80,27)","(91,27)",11.0
2f8,2f7,"(80,21)","(80,27)",6.0
2f8,2f9,"(80,21)","(80,16)",5.0
2f8,2f2,"(80,21)","(69,21)",11.0
2f8,2f14,"(80,21)","(91,21)",11.0
2f9,2f8,"(80,16)","(80,21)",5.0
2f9,2f10,"(80,16)","(80,14)",2.0
2f9,2f3,"(80,16)","(69,16)",11.0
2k1,2k3,"(8,60)","(12,60)",4.0
2k1,2k2,"(8,60)","(8,56)",4.0
2k2,2k1,"(8,56)","(8,60)",4.0
2k2,2k4,"(8,56)","(12,56)",4.0
2k3,2k1,"(12,60)","(8,60)",4.0
2k3,2k4,"(12,60)","(12,56)",4.0
2k3,2s1,"(12,60)","(16,60)",4.0
2k4,2k3,"(12,56)","(12,60)",4.0
2k4,2k2,"(12,56)","(8,56)",4.0
2k5,2s1,"(18,56)","(16,60)",4.47213595499958
2k5,2e1,"(18,56)","(21,56)",3.0
2s1,2k3,"(16,60)","(12,60)",4.0
2s1,2k5,"(16,60)","(18,56)",4.47213595499958
2s10,2s6,"(70,69)","(57,69)",13.0
2s10,2s11,"(70,69)","(69,60)",9.055385138137417
2s11,2b1,"(69,60)","(54,60)",15.0
2s11,2b4,"(69,60)","(69,52)",8.0
2s11,2s10,"(69,60)","(70,69)",9.055385138137417
2s12,2f1,"(69,27)","(69,34)",7.0
2s12,2f7,"(69,27)","(80,27)",11.0
2s12,2f2,"(69,27)","(69,21)",6.0
2s16,2f13,"(91,27)","(91,34)",7.0
2s16,2f14,"(91,27)","(91,21)",6.0
2s16,2f7,"(91,27)","(80,27)",11.0
2s17,2f12,"(91,4)","(80,4)",11.0
2s17,2f15,"(91,4)","(91,14)",10.0
2s2,2e1,"(21,53)","(21,56)",3.0
2s2,2e2,"(21,53)","(21,50)",3.0
2s2,2e8,"(21,53)","(31,53)",10.0
2s3,2e6,"(21,30)","(21,37)",7.0
2s3,2e13,"(21,30)","(31,30)",10.0
2s4,2e15,"(42,53)","(35,53)",7.0
2s4,2e25,"(42,53)","(42,60)",7.0
2s4,2e26,"(42,53)","(42,47)",6.0
2s5,2e28,"(42,30)","(42,37)",7.0
2s5,2e13,"(42,30)","(31,30)",11.0
2s6,2b1,"(57,69)","(54,60)",9.486832980505138
2s6,2s10,"(57,69)","(70,69)",13.0
2s7,2b1,"(54,54)","(54,60)",6.0
2s7,2b2,"(54,54)","(54,52)",2.0
2s9,2f1,"(62,34)","(69,34)",7.0
2s8,2b3,"(54,38)","(54,44)",6.0
2s13,2f4,"(69,4)","(69,11)",7.0
2s13,2f12,"(69,4)","(80,4)",11.0
2s14,2f1,"(77,34)","(69,34)",8.0
2s14,2f13,"(77,34)","(91,34)",14.0
2s15,2f13,"(95,34)","(91,34)",4.0
