Starting node index,Starting node osmid,Ending node index,Ending node osmid,Travel cost from the starting node to the ending node
25,667984670,125,264896614,0.000319539
34,269277049,35,269277319,0.000603659
35,269277319,135,269277052,0.000344409
77,256180132,177,1420459750,0.000206018
82,246118321,83,734344358,0.00058093
83,734344358,84,8831253536,0.000517998
96,828145421,97,246124838,0.000662501
124,497353752,125,264896614,0.000553459
124,497353752,224,264896612,0.000411452
125,264896614,126,264896618,0.000542859
125,264896614,225,264896616,0.000476053
148,267108238,248,1275858010,0.000407473
176,256178952,177,1420459750,0.000369544
176,256178952,276,256180133,0.000222481
177,1420459750,178,246073361,0.000424923
177,1420459750,277,3623024131,0.000400301
181,246117805,281,1223204887,0.000493066
224,264896612,225,264896616,0.000183871
248,1275858010,348,1794711520,0.000496508
276,256180133,277,3623024131,0.000436522
276,256180133,376,246117411,0.000501753
283,8831253543,284,246111803,3.35E-05
284,246111803,384,8831253538,3.26E-05
308,305312927,408,305312853,0.000535924
310,385149638,311,305312941,0.00035297
347,101173265,348,1794711520,0.000509831
375,733338789,376,246117411,0.00053526
375,733338789,475,246247333,0.000349666
396,246123746,397,246124795,0.000688575
408,305312853,409,305312984,0.000550486
474,245963581,475,246247333,0.000649707
475,246247333,575,93810163,0.00027316
575,93810163,576,246245674,0.000800662
576,246245674,577,256170972,0.000271114
576,246245674,676,256170971,0.000620215
588,261719505,688,93810167,0.00030884
596,246123280,696,1455386212,0.000362143
620,32630066,720,1380954832,0.0003738
664,101172811,665,1224084340,0.00070297
667,1672413680,668,245963751,0.000864652
674,246247189,774,256170960,0.000440732
676,256170971,776,9396600980,0.000443356
678,261645962,778,261645965,0.000452144
680,261645958,780,261645952,0.000444969
691,2268912765,692,1824855154,0.000613175
696,1455386212,697,1455386186,0.000307197
749,101011000,849,101007862,0.000532654
776,9396600980,876,256170959,0.000178889
778,261645965,878,261645959,0.000436844
801,247289228,802,1427920464,0.000254966
804,1491995170,904,305309566,0.0005456
812,305310168,813,247288410,0.000675374
812,305310168,912,305313562,0.00061804
816,247287663,916,878676187,0.000314957
845,101173598,846,101172843,0.000461291
852,246137471,952,101015321,0.000389171
883,261646252,983,256170968,0.000449159
886,256170966,986,566517003,0.000279928
904,305309566,905,32650370,0.000319776
904,305309566,1004,385125939,0.000338503
909,385132421,1009,305314107,0.000364916
911,3003631853,912,305313562,0.000406558
912,305313562,1012,305313566,0.000297413
979,256170962,980,2112943266,0.000114065
983,256170968,1083,256170967,0.000629435
985,246247188,986,566517003,0.000804628
995,246164532,996,330362153,0.00035712
1001,247334645,1002,254094129,0.00063325
1002,254094129,1003,385123727,0.000348014
1003,385123727,1004,385125939,0.00055928
1003,385123727,1103,305309685,0.000329746
1004,385125939,1104,305310014,0.000355216
1008,305310133,1009,305314107,0.000660215
1012,305313566,1013,305313431,0.000513745
1012,305313566,1112,667984655,0.000444097
1050,101007861,1150,101049059,0.000501728
1053,101049079,1153,1275767931,0.000227562
1082,256170961,1083,256170967,0.000327253
1082,256170961,1182,256170969,0.000516052
1103,305309685,1104,305310014,9.54E-05
1110,3003631855,1111,305313781,0.000527535
1111,305313781,1112,667984655,0.000658274
1111,305313781,1211,32650951,0.000448452
1144,101007857,1244,965876532,0.000372856
1147,101007852,1247,101049057,0.000476462
1150,101049059,1250,101005848,0.000362863
1186,256171270,1187,261648716,0.000627762
1198,2175887040,1199,2175887035,0.000393507
1199,2175887035,1299,2175887047,0.000503306
1205,32649914,1305,305309535,0.000553351
1207,32649915,1208,2152922284,0.000505686
1218,1380955534,1318,552580894,0.000342643
1242,101047788,1243,247702827,0.000315605
1243,247702827,1244,965876532,0.000546234
1244,965876532,1344,7780959336,0.000158842
1285,2312124650,1385,261648717,0.000422267
1301,247334548,1401,2135935956,0.000604945
1303,309891786,1304,305309537,0.000179821
1303,309891786,1403,254094156,0.000231359
1304,305309537,1305,305309535,0.000836365
1305,305309535,1306,385130309,0.00051565
1309,32650161,1310,2899818331,0.000494713
1354,101010992,1454,265550122,0.000444418
1356,2069702611,1357,2069702613,0.000162288
1357,2069702613,1457,1771529508,0.000386893
1363,246478687,1463,252901199,0.000406437
1398,2175887054,1498,3337846844,0.000290286
1401,2135935956,1501,247334510,0.000433592
1445,246140935,1545,1365283547,0.000361405
1451,246138850,1452,265550120,0.000653601
1454,265550122,1554,257668661,0.000326449
1475,259869643,1476,256638788,0.00047205
1478,3139025588,1479,256638789,0.000396328
1479,256638789,1480,256638792,0.000361485
1498,3337846844,1598,1402819224,0.000504792
1504,254094151,1505,32649913,0.000457619
1545,1365283547,1546,7780959372,0.0003518
1545,1365283547,1645,255466368,0.000292392
1546,7780959372,1646,255329941,0.000241582
1554,257668661,1654,246478681,0.000293467
1617,32650381,1717,1603316088,9.28E-05
1645,255466368,1646,255329941,0.000432439
1656,256170150,1657,257668665,0.000446225
1687,1140116642,1688,246162247,0.000617747
1690,265747976,1790,265747975,0.000150183
1762,255256713,1862,255259856,0.000430652
1785,1244913461,1786,246162242,0.000573517
1786,246162242,1886,1245400317,0.00025164
1789,220736368,1790,265747975,0.000787496
1790,265747975,1890,8372016197,0.000647437
1840,2959672888,1841,246139719,0.000281966
1841,246139719,1842,246139718,0.000721845
1842,246139718,1843,2112943269,0.000214229
1843,2112943269,1943,2112943277,0.000434752
1886,1245400317,1986,122571130,0.000487897
1890,8372016197,1990,26618764,0.000317517
1899,295735024,1999,346451540,0.000544059
1903,1107548554,1904,2248514361,0.000626669
1906,32650154,2006,83650212,0.000436379
1908,83649359,2008,83650350,0.000327585
1910,83648548,2010,83649294,0.000591135
1943,2112943277,2043,246144912,0.000458773
2005,83650446,2006,83650212,0.000700308
2008,83650350,2108,1107543217,0.000456016
2040,255250999,2041,2001545075,0.000103056
2087,1245400284,2088,26618757,0.000427286
2088,26618757,2089,26618754,0.000626127
2108,1107543217,2109,1393905990,8.19E-05
2108,1107543217,2208,1107543256,0.000368679
2173,252712468,2174,252712935,0.000544455
2205,83650214,2305,4058522422,0.000606956
2280,255121653,2380,255121655,0.000542677
2305,4058522422,2306,317348279,0.000556264
2332,25418933,2333,356934373,0.000641424
2333,356934373,2334,356934585,0.000345931
2336,266318885,2436,2119692851,0.000341029
2346,255250283,2446,255250101,0.000307877
2376,261731992,2377,122571136,0.000728929
2407,83649810,2408,299811107,0.00069856
2407,83649810,2507,299808700,0.000521449
2419,83506907,2519,32630956,0.000462199
2435,256576580,2436,2119692851,0.000221869
2435,256576580,2535,256575742,0.000452715
2441,255250287,2442,255250786,0.00052563
2441,255250287,2541,255250098,0.000313308
2451,255250019,2452,246144918,0.000303564
2506,32649920,2507,299808700,0.000805324
2518,32630957,2519,32630956,0.000161446
2519,32630956,2520,32630955,0.000470153
2537,2959672897,2538,246142109,0.000562085
2541,255250098,2641,246141797,0.000477025
2592,270545256,2692,246160563,0.000253715
2692,246160563,2792,255276194,0.000576672
2734,256576319,2735,256576320,0.000548637
2737,2196247885,2738,256575744,0.000486608
2737,2196247885,2837,2283190928,0.000325284
2738,256575744,2739,327115023,0.000679904
2738,256575744,2838,256576313,0.000390298
2739,327115023,2839,327115013,0.000396524
2743,25418929,2744,246147728,0.00046837
2744,246147728,2745,3134209748,0.000314849
2744,246147728,2844,1107496231,0.000250468
2756,2001545081,2856,246146288,0.000320219
2762,246147950,2763,4586979657,0.00037223
2762,246147950,2862,1072642459,0.000347224
2777,252712466,2877,9411254631,0.00041311
2786,255278207,2886,253711275,0.000389855
2792,255276194,2793,255276195,0.000527837
2816,2315316891,2817,10610748331,0.000436729
2820,32630952,2920,1387899770,0.000446336
2837,2283190928,2838,256576313,0.000432659
2838,256576313,2839,327115013,0.000646789
2851,772772863,2852,3134209749,0.000221448
2852,3134209749,2853,3548468718,0.000701045
2855,261761724,2856,246146288,0.000527315
2856,246146288,2857,1107496227,0.000168436
2857,1107496227,2858,246147610,0.000395885
2857,1107496227,2957,1107496218,0.000356913
2886,253711275,2986,255275060,0.000248003
2919,32630961,2920,1387899770,0.000320617
2920,1387899770,2921,32630950,0.000527123
2921,32630950,3021,356931990,0.000404977
2923,32630949,3023,5728348344,0.000246999
2942,1416998349,2943,1107496233,0.00045311
2943,1107496233,3043,1107496216,0.000379258
2994,253708867,3094,255278213,0.000277647
3005,247392543,3105,757040837,0.000196114
3010,427611328,3110,2298342767,9.76E-05
3012,1233461517,3013,427615258,0.000498764
3021,356931990,3121,32630948,0.000455601
3025,1434873299,3125,257359634,9.08E-05
3043,1107496216,3044,1107496252,0.000318296
3044,1107496252,3045,252609162,0.00078962
3055,261761721,3056,261762870,0.000471055
3061,261764695,3161,252714282,0.000510593
3085,255277950,3185,253711694,0.000392561
3087,253711277,3187,255277951,0.000392462
3105,757040837,3205,247392542,0.000473008
3107,25388389,3108,616806758,0.000527274
3110,2298342767,3210,1394267353,0.000451371
3125,257359634,3126,257359637,0.000472022
3125,257359634,3225,257359633,0.000527917
3129,256575380,3130,1107500023,0.000442538
3129,256575380,3229,256575372,0.000198411
3130,1107500023,3230,256575371,0.000504325
3134,1107500054,3135,256577526,0.000450582
3137,502528140,3138,502528127,0.000545187
3138,502528127,3238,254528639,0.000278616
3141,1107496215,3142,1107496235,0.000714219
3184,255120632,3185,253711694,0.000425941
3196,2192443980,3197,2192443976,0.000518012
3196,2192443980,3296,253708866,0.000278355
3202,25388197,3203,25388404,0.000724392
3203,25388404,3204,25388387,0.000455936
3204,25388387,3205,247392542,0.000210858
3204,25388387,3304,758357594,0.000392509
3210,1394267353,3310,309295976,0.00047746
3229,256575372,3230,256575371,0.000178591
3229,256575372,3329,595659430,0.000643508
3246,252607425,3346,252607430,0.000368156
3255,261762869,3256,2537299971,0.000500863
3255,261762869,3355,246147609,0.000507674
3256,2537299971,3356,258277664,0.000282472
3258,252714283,3259,261764697,0.000333109
3279,270522053,3280,253711685,0.000585356
3280,253711685,3380,257483794,0.00037839
3299,267586178,3300,758154256,0.047680105
3300,758154256,3301,758154234,0.000304868
3300,758154256,3400,25388195,0.000282291
3304,758357594,3404,1165400891,0.00040224
3326,448239624,3426,256575406,0.000503229
3344,252608214,3345,1288873197,0.000480795
3345,1288873197,3346,252607430,0.00054736
3345,1288873197,3445,1107496222,0.000338148
3346,252607430,3446,122571273,0.000583952
3349,252608905,3449,25418922,0.000540493
3354,258277649,3355,246147609,0.000638582
3355,246147609,3356,258277664,0.000280944
3356,258277664,3357,2537299996,0.000465984
3356,258277664,3456,246149114,0.000379496
3380,257483794,3381,253711691,0.00058198
3384,253711659,3385,253711657,0.000756072
3384,253711659,3484,2127267657,0.000744763
3385,253711657,3485,257362156,0.000115612
3430,595659429,3530,564995645,0.000485605
3445,1107496222,3446,122571273,0.000530642
3446,122571273,3447,2141800768,0.000405364
3447,2141800768,3448,2141800773,0.000470412
3447,2141800768,3547,1288873196,0.000261596
3448,2141800773,3449,25418922,0.0002557
3459,270323571,3460,122571141,0.000107945
3478,26619713,3479,257483819,0.000279643
3479,257483819,3579,257483791,0.000218958
3482,248532565,3483,257471848,0.000109706
3482,248532565,3582,254331093,0.000256177
3483,257471848,3484,2127267657,0.000869923
3484,2127267657,3485,257362156,0.000271597
3484,2127267657,3584,253711276,0.000429627
3485,257362156,3486,253712455,0.000752882
3486,253712455,3586,2127267663,0.000382816
3515,279143970,3516,279369327,0.000527599
3536,356931465,3537,1107500029,0.000625495
3603,301348589,3604,309294440,0.000350885
3604,309294440,3605,309294531,0.000726315
3607,1421279828,3707,309293389,0.000439884
3657,6268126323,3757,1233060740,5.41E-05
3681,257362163,3781,1342200955,0.000287568
3699,246158446,3799,246158706,0.00045701
3706,1421279832,3707,309293389,0.000366749
3721,364855510,3821,2121251551,0.00014209
3736,1578078710,3836,25418891,0.000444579
3756,4150909524,3757,1233060740,0.000154861
3762,252716627,3763,252714272,0.000639018
3775,8284993959,3776,2322149506,0.000204581
3776,2322149506,3876,257752686,0.000359821
3780,257483812,3781,1342200955,0.00035463
3780,257483812,3880,257483813,0.000488846
3781,1342200955,3881,257483808,0.000483009
3798,304556355,3799,246158706,0.000247466
3821,2121251551,3822,281043577,0.000536747
3822,281043577,3823,281042896,0.000622897
3822,281043577,3922,364855514,0.000340224
3823,281042896,3923,281042895,0.000251663
3836,25418891,3837,25418889,0.000384465
3849,669160648,3949,2126941296,0.000443482
3876,257752686,3877,929586813,0.000462564
3880,257483813,3881,257483808,0.000301986
3922,364855514,3923,281042895,0.000621811
3948,252608212,3949,2126941296,0.000223401
3949,2126941296,4049,255457312,0.00045625
4051,32633413,4151,122571142,0.000383459
4076,257485319,4176,257485315,0.000609061
4083,257485922,4183,276549444,0.000528942
4121,32650585,4221,281043897,0.000626258
4203,309297808,4303,1397852758,0.000382419
4205,1443767519,4305,279743838,0.000433711
4220,309301771,4221,281043897,0.000646895
4221,281043897,4321,1510786605,0.000275836
4247,255457313,4248,255455536,0.000245483
4300,25388289,4400,850866980,0.000539339
4302,677443038,4303,1397852758,0.000438024
4305,279743838,4306,756777430,0.000326621
4317,309302518,4417,309302513,0.000237685
4374,25643607,4375,257485305,0.000364623
4374,25643607,4474,270197928,0.000407165
4378,257485313,4478,257485308,0.000541221
4385,276549465,4386,248782763,0.000568136
4386,248782763,4387,276549464,0.000949862
4387,276549464,4388,276549463,0.000453945
4387,276549464,4487,276549467,0.000136236
4456,270325411,4457,25418915,0.000111423
4474,270197928,4574,25643610,0.000135914
4482,9657623428,4483,9657623427,0.000585833
4482,9657623428,4582,248674607,0.000342957
4483,9657623427,4583,257485302,0.000305305
4508,32631122,4509,309299606,0.000487387
4508,32631122,4608,279746146,0.00046911
4516,304572700,4616,1444831059,0.000327755
4552,122570350,4652,250889367,0.000261471
4555,3567191129,4655,1351150950,0.000426364
4581,257485321,4582,248674607,0.000720067
4582,248674607,4583,257485302,0.000323034
4604,677442257,4605,279746427,0.00062419
4616,1444831059,4716,309303592,0.000286865
4719,2138699730,4720,2138699732,0.000600204
4720,2138699732,4721,304727605,0.000104393
4753,270325624,4754,32633399,0.00056137
4753,270325624,4853,242161441,0.000483619
4781,270197929,4881,248665025,0.000137748
4797,259029410,4897,248531688,0.00049462
4828,281045225,4829,261870618,0.000209591
4829,261870618,4929,309307047,0.000536705
4835,2122726526,4935,261870185,0.000437593
4850,617242274,4950,32633401,0.000386481
4881,248665025,4981,257485303,0.000595804
4896,259028890,4897,248531688,0.000737651
4896,259028890,4996,248531764,0.000608501
4906,1172899329,5006,279746150,0.000328879
4911,279746708,5011,309300889,0.000467201
4929,309307047,5029,2122813107,0.000270531
4935,261870185,4936,1193906503,0.000396427
4949,246150528,4950,32633401,0.000396338
4949,246150528,5049,246151146,0.000490269
4950,32633401,4951,617242273,0.000348126
4950,32633401,5050,246150584,0.000168549
4971,2582362060,4972,2582362059,0.000232201
4971,2582362060,5071,1243130446,0.000403652
